section,indice,categorie,phase,Pos.,Club,Points
Entente Lyon Est Handball,A,Seniors,P1,10,SAINT-FLOUR HANDBALL,0
Entente Lyon Est Handball,A,Seniors,P1,11,ST CHAMOND HANDBALL PAYS DU GIER 2,0
Entente Lyon Est Handball,A,Seniors,P1,12,HBC LANGEAC,1
Entente Lyon Est Handball,B,Seniors,P1,1,P16F PNF - PORTE DE L'ISERE,3
Entente Lyon Est Handball,B,Seniors,P1,2,P16F PNF - ENTENTE BRON VILLEURBANNE,3
Entente Lyon Est Handball,B,Seniors,P1,3,BELLEY HBC,3
Entente Lyon Est Handball,B,Seniors,P1,4,P16F PNF - ENTENTE MEXIMIEUX MONTLUEL,1
Entente Lyon Est Handball,B,Seniors,P1,5,CS MORESTEL HANDBALL,1
Entente Lyon Est Handball,B,Seniors,P1,6,P16F PNF - ENTENTE LYON EST HANDBALL,1
Entente Lyon Est Handball,B,Seniors,P1,7,SAINT GENIX - AOSTE HB,0
Entente Lyon Est Handball,B,Seniors,P1,8,HANDBALL CLUB BOURGETAIN,0
Entente Est Lyonnais,Rés.,M15,P1,1,ST GENIS LAVAL AL HANDBALL -15 RESERVE,3
Entente Est Lyonnais,Rés.,M15,P1,2,UODL HANDBALL,1
Entente Est Lyonnais,Rés.,M15,P1,3,VILLEURBANNE HANDBALL ASSOCIATION,0
Entente Est Lyonnais,Rés.,M15,P1,4,M15M EXC - ENTENTE EST LYONNAIS (RESERVE),0
Entente Est Lyonnais,Rés.,M15,P1,5,M15M EXC - ENTENTE NORD ISERE (RESERVE),0
Entente Est Lyonnais,,M17,P1,1,ST GENIS LAVAL AL HANDBALL -17 m aura,3
Entente Est Lyonnais,,M17,P1,2,UODL HANDBALL,1
Entente Est Lyonnais,,M17,P1,3,M17M EXC - LYON METROPOLE,0
Entente Est Lyonnais,,M17,P1,4,M17M EXC - ENTENTE NORD ISERE,0
Entente Est Lyonnais,,M17,P1,5,M17M EXC - ENTENTE EST LYONNAIS,0
Entente Lyon Est Handball,A,M13,P1,1,M13F EXC - ENTENTE LYON EST HANDBALL - 1,3
Entente Lyon Est Handball,A,M13,P1,2,HBC ST LAURENT DE CHAMOUSSET,1
Entente Lyon Est Handball,A,M13,P1,3,CALUIRE-RILLIEUX HANDBALL,1
Entente Lyon Est Handball,A,M13,P1,4,ASUL VAULX-EN-VELIN,0
Entente Lyon Est Handball,A,M13,P1,5,VILLEURBANNE HANDBALL ASSOCIATION,3
Entente Villette Genas,A,M13,P1,1,M13M EXC - ENTENTE BOURGOIN/VILLEFONTAINE,3
Entente Villette Genas,A,M13,P1,2,M13M EXC - ENTENTE GENAS - VILLETTE,3
Entente Villette Genas,A,M13,P1,3,-13G1 US MEYZIEU HANDBALL,1
Entente Villette Genas,A,M13,P1,4,M13M CHAPONNAY,1
Entente Villette Genas,A,M13,P1,5,M13M EXC - ENTENTE CORBAS - ST PRIEST,0
Entente Lyon Est Handball,A,M15,P1,1,PAYS VOIRONNAIS HANDBALL 1,3
Entente Lyon Est Handball,A,M15,P1,2,HBC ECHIROLLES-EYBENS,3
Entente Lyon Est Handball,A,M15,P1,3,MEYLAN HANDBALL 1,1
Entente Lyon Est Handball,A,M15,P1,4,M15F EXC - ENTENTE LYON EST HANDBALL,1
Entente Lyon Est Handball,A,M15,P1,5,M15F EXC - PORTE DE L'ISERE,1
Entente Lyon Est Handball,A,M15,P1,6,M15F EXC - ENTENTE BRON VILLEURBANNE,3
Entente Est Lyonnais,B,M15,P1,1,HANDBALL CLUB DE LYON,3
Entente Est Lyonnais,B,M15,P1,2,M15M CHAPONNAY,1
Entente Est Lyonnais,B,M15,P1,3,MERMOZ G15A,3
Entente Est Lyonnais,B,M15,P1,4,M15M EXC - ENTENTE EST LYONNAIS,0
Entente Est Lyonnais,B,M15,P1,5,SAINT GENIX AOSTE HB 1,0
Entente Est Lyonnais,B,M15,P1,6,BELLEY HBC,1
Entente Villette Genas,C,M15,P1,1,M15M EXC - ENTENTE GENAS - VILLETTE,0
Entente Villette Genas,C,M15,P1,2,M15M EXC - MIONS HEYRIEUX,0
Entente Villette Genas,C,M15,P1,3,AS GENAY HANDBALL,0
Entente Villette Genas,C,M15,P1,4,HB GLEIZE ST JULIEN DENICE U15M A,0
Entente Villette Genas,C,M15,P1,5,M15M EXC - ENTENTE BEAUJOLAISE 2,0
Entente Villette Genas,D,M18,P1,1,VAULX EN VELIN HANDBALL CLUB,3
Entente Villette Genas,D,M18,P1,2,COTIERE HANDBALL,1
Entente Villette Genas,D,M18,P1,3,HANDBALL BOURG,0
Entente Villette Genas,D,M18,P1,4,AS GENAY HANDBALL,0
Entente Villette Genas,D,M18,P1,5,M18M EXC - ENTENTE GENAS-VILLETTE B,0
Entente Est Lyonnais,A,M18,P1,1,UODL HANDBALL,1
Entente Est Lyonnais,A,M18,P1,2,SAINT RAPHAEL VHB,3
Entente Est Lyonnais,A,M18,P1,3,US CRAUROISE HANDBALL,0
Entente Est Lyonnais,A,M18,P1,4,ISTRES PROVENCE HANDBALL,0
Entente Est Lyonnais,A,M18,P1,5,MONTELIMAR CLUB HANDBALL,0
Entente Est Lyonnais,A,M18,P1,6,ENT. EST-LYONNAIS - SAINT-PRIEST,0
Entente Villette Genas,C,M18,P1,1,PAYS VOIRONNAIS HANDBALL 1,0
Entente Villette Genas,C,M18,P1,2,M18M EXC - ENTENTE GENAS - VILLETTE,0
Entente Villette Genas,C,M18,P1,3,HANDBALL CLUB DE LYON,0
Entente Villette Genas,C,M18,P1,4,CS BOURGOIN JALLIEU HB,0
Entente Villette Genas,C,M18,P1,5,M18M EXC - ENTENTE CORBAS - ST PRIEST - CHAPONNAY,0
Entente Est Lyonnais,B,M18,P1,1,M18M EXC - ENTENTE LIMAS/VHB,3
Entente Est Lyonnais,B,M18,P1,2,CIVRIEUX HANDBALL CLUB,1
Entente Est Lyonnais,B,M18,P1,3,ROANNE RIORGES HANDBALL 1,3
Entente Est Lyonnais,B,M18,P1,4,ENTENTE EST-LYONNAIS - SAINT-PRIEST (U18),0
Entente Est Lyonnais,B,M18,P1,5,Trévoux - U18 Excellence,0
Entente Est Lyonnais,B,M18,P1,6,M18M EXC - ENTENTE NORD BEAUJOLAIS 1,1
