section,indice,categorie,phase,Pos.,Club,Points
Entente Lyon Est Handball,A,Seniors,P1,9,ST CHAMOND HANDBALL PAYS DU GIER 2,3
Entente Lyon Est Handball,A,Seniors,P1,10,HBC LANGEAC,2
Entente Lyon Est Handball,A,Seniors,P1,11,BLANZAT SPORT MONTLUCON,2
Entente Lyon Est Handball,A,Seniors,P1,12,ST LAURENT DE CHAMOUSSET HBC,2
Entente Lyon Est Handball,B,Seniors,P1,1,P16F PNF - PORTE DE L'ISERE,6
Entente Lyon Est Handball,B,Seniors,P1,2,BELLEY HBC,6
Entente Lyon Est Handball,B,Seniors,P1,3,HANDBALL CLUB BOURGETAIN,4
Entente Lyon Est Handball,B,Seniors,P1,4,P16F PNF - ENTENTE LYON EST HANDBALL,4
Entente Lyon Est Handball,B,Seniors,P1,5,SAINT GENIX - AOSTE HB,4
Entente Lyon Est Handball,B,Seniors,P1,6,P16F PNF - ENTENTE BRON VILLEURBANNE,4
Entente Lyon Est Handball,B,Seniors,P1,7,P16F PNF - ENTENTE MEXIMIEUX MONTLUEL,2
Entente Lyon Est Handball,B,Seniors,P1,8,CS MORESTEL HANDBALL,2
Entente Est Lyonnais,Rés.,M15,P1,1,M15M EXC - ENTENTE EST LYONNAIS (RESERVE),3
Entente Est Lyonnais,Rés.,M15,P1,2,ST GENIS LAVAL AL HANDBALL -15 RESERVE,3
Entente Est Lyonnais,Rés.,M15,P1,3,VILLEURBANNE HANDBALL ASSOCIATION,3
Entente Est Lyonnais,Rés.,M15,P1,4,M15M EXC - ENTENTE NORD ISERE (RESERVE),2
Entente Est Lyonnais,Rés.,M15,P1,5,UODL HANDBALL,1
Entente Est Lyonnais,,M17,P1,1,M17M EXC - LYON METROPOLE,3
Entente Est Lyonnais,,M17,P1,2,M17M EXC - ENTENTE EST LYONNAIS,3
Entente Est Lyonnais,,M17,P1,3,ST GENIS LAVAL AL HANDBALL -17 m aura,3
Entente Est Lyonnais,,M17,P1,4,M17M EXC - ENTENTE NORD ISERE,2
Entente Est Lyonnais,,M17,P1,5,UODL HANDBALL,1
Entente Lyon Est Handball,A,M13,P1,1,VILLEURBANNE HANDBALL ASSOCIATION,6
Entente Lyon Est Handball,A,M13,P1,2,M13F EXC - ENTENTE LYON EST HANDBALL - 1,3
Entente Lyon Est Handball,A,M13,P1,3,ASUL VAULX-EN-VELIN,3
Entente Lyon Est Handball,A,M13,P1,4,HBC ST LAURENT DE CHAMOUSSET,2
Entente Lyon Est Handball,A,M13,P1,5,CALUIRE-RILLIEUX HANDBALL,2
Entente Villette Genas,A,M13,P1,1,CS BOURGOIN JALLIEU HB,6
Entente Villette Genas,A,M13,P1,2,M13M CHAPONNAY,4
Entente Villette Genas,A,M13,P1,3,M13M EXC - ENTENTE GENAS - VILLETTE,3
Entente Villette Genas,A,M13,P1,4,-13G1 US MEYZIEU HANDBALL,2
Entente Villette Genas,A,M13,P1,5,M13M EXC - ENTENTE CORBAS - ST PRIEST,1
Entente Lyon Est Handball,A,M15,P1,1,HBC ECHIROLLES-EYBENS,6
Entente Lyon Est Handball,A,M15,P1,2,M15F EXC - ENTENTE BRON VILLEURBANNE,5
Entente Lyon Est Handball,A,M15,P1,3,PAYS VOIRONNAIS HANDBALL 1,4
Entente Lyon Est Handball,A,M15,P1,4,M15F EXC - ENTENTE LYON EST HANDBALL,3
Entente Lyon Est Handball,A,M15,P1,5,M15F EXC - PORTE DE L'ISERE,3
Entente Lyon Est Handball,A,M15,P1,6,MEYLAN HANDBALL 1,3
Entente Est Lyonnais,B,M15,P1,1,SAINT GENIX AOSTE HB 1,6
Entente Est Lyonnais,B,M15,P1,2,M15M CHAPONNAY,4
Entente Est Lyonnais,B,M15,P1,3,HANDBALL CLUB DE LYON,4
Entente Est Lyonnais,B,M15,P1,4,MERMOZ G15A,4
Entente Est Lyonnais,B,M15,P1,5,M15M EXC - ENTENTE EST LYONNAIS,4
Entente Est Lyonnais,B,M15,P1,6,BELLEY HBC,2
Entente Villette Genas,C,M15,P1,1,AS GENAY HANDBALL,6
Entente Villette Genas,C,M15,P1,2,M15M EXC - ENTENTE GENAS - VILLETTE,6
Entente Villette Genas,C,M15,P1,3,M15M EXC - ENTENTE BEAUJOLAISE 2,2
Entente Villette Genas,C,M15,P1,4,HB GLEIZE ST JULIEN DENICE U15M A,1
Entente Villette Genas,C,M15,P1,5,M15M EXC - MIONS HEYRIEUX,1
Entente Villette Genas,D,M18,P1,1,AS GENAY HANDBALL,6
Entente Villette Genas,D,M18,P1,2,VAULX EN VELIN HANDBALL CLUB,4
Entente Villette Genas,D,M18,P1,3,HANDBALL BOURG,3
Entente Villette Genas,D,M18,P1,4,M18M EXC - ENTENTE GENAS-VILLETTE B,2
Entente Villette Genas,D,M18,P1,5,COTIERE HANDBALL,1
Entente Est Lyonnais,A,M18,P1,1,SAINT RAPHAEL VHB,6
Entente Est Lyonnais,A,M18,P1,2,ENT. EST-LYONNAIS - SAINT-PRIEST,6
Entente Est Lyonnais,A,M18,P1,3,ISTRES PROVENCE HANDBALL,4
Entente Est Lyonnais,A,M18,P1,4,US CRAUROISE HANDBALL,4
Entente Est Lyonnais,A,M18,P1,5,UODL HANDBALL,2
Entente Est Lyonnais,A,M18,P1,6,MONTELIMAR CLUB HANDBALL,2
Entente Villette Genas,C,M18,P1,1,M18M EXC - ENTENTE CORBAS - ST PRIEST - CHAPONNAY,4
Entente Villette Genas,C,M18,P1,2,PAYS VOIRONNAIS HANDBALL 1,4
Entente Villette Genas,C,M18,P1,3,M18M EXC - ENTENTE GENAS - VILLETTE,3
Entente Villette Genas,C,M18,P1,4,HANDBALL CLUB DE LYON,3
Entente Villette Genas,C,M18,P1,5,CS BOURGOIN JALLIEU HB,2
Entente Est Lyonnais,B,M18,P1,1,ENTENTE EST-LYONNAIS - SAINT-PRIEST (U18),6
Entente Est Lyonnais,B,M18,P1,2,ROANNE RIORGES HANDBALL 1,6
Entente Est Lyonnais,B,M18,P1,3,M18M EXC - ENTENTE NORD BEAUJOLAIS 1,4
Entente Est Lyonnais,B,M18,P1,4,M18M EXC - ENTENTE LIMAS/VHB,4
Entente Est Lyonnais,B,M18,P1,5,CIVRIEUX HANDBALL CLUB,2
Entente Est Lyonnais,B,M18,P1,6,Trévoux - U18 Excellence,2
